Hydrogen,Methane,Ethane,Ethylene,Acetylene,Carbon Monoxide,Carbon Dioxide,Fault_Type,%CH4,%C2H4,%C2H2
0.0,5,0.0,7,0,151,1198,0,41.66666666666667,58.333333333333336,0.0
6.0,1,1.0,1,4,26,553,1,16.666666666666664,16.666666666666664,66.66666666666666
5.0,1,1.0,1,3,21,378,1,20.0,20.0,60.0
6.0,1,1.0,1,4,26,553,1,16.666666666666664,16.666666666666664,66.66666666666666
0.0,5,0.0,7,0,151,1198,0,41.66666666666667,58.333333333333336,0.0
0.0,0,0.0,0,0,132,1823,0,0.0,0.0,0.0
10.0,1,3.0,4,6,0,768,1,9.090909090909092,36.36363636363637,54.54545454545454
6.0,2,2.0,3,9,52,1134,1,14.285714285714285,21.428571428571427,64.28571428571429
0.0,2,2.0,3,9,62,1136,0,14.285714285714285,21.428571428571427,64.28571428571429
6.0,2,3.0,3,11,53,1368,1,12.5,18.75,68.75
10.0,2,3.0,4,8,22,805,1,14.285714285714285,28.57142857142857,57.14285714285714
0.0,0,0.0,0,0,191,1589,0,0.0,0.0,0.0
0.0,3,0.0,8,0,144,1113,0,27.27272727272727,72.72727272727273,0.0
8.0,2,1.0,2,5,32,591,1,22.22222222222222,22.22222222222222,55.55555555555556
9.0,2,1.0,1,4,33,500,1,28.57142857142857,14.285714285714285,57.14285714285714
8.0,2,1.0,2,5,32,591,1,22.22222222222222,22.22222222222222,55.55555555555556
0.0,3,0.0,8,0,144,1113,0,27.27272727272727,72.72727272727273,0.0
0.0,0,0.0,0,0,191,1589,0,0.0,0.0,0.0
10.0,2,3.0,4,8,22,805,1,14.285714285714285,28.57142857142857,57.14285714285714
6.0,2,3.0,3,11,53,1368,1,12.5,18.75,68.75
13.0,2,4.0,6,8,22,949,1,12.5,37.5,50.0
0.0,0,0.0,0,0,23,1176,0,0.0,0.0,0.0
0.0,0,0.0,0,0,15,468,0,0.0,0.0,0.0
8.0,1,1.0,1,2,19,362,1,25.0,25.0,50.0
0.0,0,0.0,0,0,15,468,0,0.0,0.0,0.0
0.0,0,0.0,0,0,23,1176,0,0.0,0.0,0.0
13.0,2,4.0,6,8,22,949,1,12.5,37.5,50.0
3.0,3,1.0,0,0,39,513,0,100.0,0.0,0.0
5.0,15,2.0,0,0,67,832,0,100.0,0.0,0.0
0.0,0,1.0,0,0,51,631,0,0.0,0.0,0.0
10.0,1,2.0,0,0,40,816,0,100.0,0.0,0.0
9.0,1,1.0,0,0,17,579,0,100.0,0.0,0.0
0.0,0,0.0,0,0,58,687,0,0.0,0.0,0.0
7.0,1,1.0,0,0,25,567,0,100.0,0.0,0.0
4.0,1,0.0,0,0,26,397,0,100.0,0.0,0.0
7.0,1,1.0,0,0,25,567,0,100.0,0.0,0.0
0.0,0,0.0,0,0,58,687,0,0.0,0.0,0.0
9.0,1,1.0,0,0,17,579,0,100.0,0.0,0.0
10.0,1,2.0,0,0,40,816,0,100.0,0.0,0.0
0.0,0,1.0,0,0,51,631,0,0.0,0.0,0.0
5.0,15,2.0,0,0,67,832,0,100.0,0.0,0.0
3.0,3,1.0,0,0,39,513,0,100.0,0.0,0.0
0.0,2,0.0,6,0,57,2566,0,25.0,75.0,0.0
5.0,5,2.0,17,0,156,2041,4,22.727272727272727,77.27272727272727,0.0
0.0,2,0.0,6,0,57,2566,0,25.0,75.0,0.0
5.0,8,3.0,0,0,82,1121,0,100.0,0.0,0.0
5.0,0,1.0,0,0,77,1336,0,0.0,0.0,0.0
4.0,1,1.0,0,0,68,954,0,100.0,0.0,0.0
